,,Mario Manningham,Michigan,So.,"FA (Wk.4, 2005)"
,,Nate Swift,Nebraska,So.,"FA (Wk.9, 2005)"
,,James Hardy,Indiana,So,"Draft (5, 2006)"
,,Dorin Dickerson,Pittsburgh,Fr,"Draft (11, 2006)"
,,Michael Jones,Arizona State,So,"Draft (27, 2006)"
,TE,Clark Harris ,Rutgers,Sr,"Draft (43, 2006)"
,K,Kyle Schlicher,Iowa,Sr,"Draft (59, 2006)"
,D,LSU,LSU,,"Draft (51, 2006)"
Reid's,QB,Blake Mitchell,South Carolina,Jr.,"Draft (54th, 2005)"
Cornhuskers,,Brady Quinn,Notre Dame,Sr,"Draft (18th, 2004)"
,,Bobby Reid,Oklahoma State,So.,"Draft (27th, 2005)"
,,Zac Taylor,Nebraska,Sr,"Draft (19th, 2005)"
,,Brian Brohm,Louisville,Jr,"Draft (2, 2006)"
,RB,Jorvorskie Lane,Texas A&M,So.,"FA (Wk.7, 2005)"
,,Rafael Little,Kentucky,Jr,"FA (Wk.10, 2005)"
,,Marlon Lucky,Nebraska,So.,"Draft (2nd, 2005)"
,,Kory Sheets,Purdue,So.,"FA (Wk.5, 2005)"
,,Keegan Herring,Arizona State,So.,"Draft (16, 2006)"
,,Brian Leonard,Rutgers,Sr,"Draft (40, 2006)"
,,Courtney Lewis,Texas A&M,Sr,"Draft (56, 2006)"
,,Charles Scott,LSU,Fr,"Draft (69, 2006)"
,WR,Malcolm Kelly,Oklahoma,So.,Trade w/Derek 1-16-06
,,Dwayne Jarrett,USC,Jr.,"Draft (6th, 2004)"
,,Aaron Kelly,Clemson,So.,"FA (Wk.8, 2005)"
,,Mohamed Massaquoi,Georgia,So.,"Draft (32, 2006)"
,,Andre Caldwell,Florida,Sr,"Draft (48, 2006)"
,,Terrence Nunn,Nebraska,So.,"Draft (63, 2006)"
,TE,Martellus Bennett,Texas A&M,So.,"Draft (68, 2006)"
,K,Mason Crosby,Colorado,Sr,"Draft (80th, 2005)"
,D,Nebraska,Nebraska,,"Draft (66, 2006)"
Jay's,QB,Ben Olson,UCLA,So.,FA (Wk 5 2005)
Badgers,,Bret Meyer,Iowa State,Jr.,FA (Wk 10 2005)
,,Jamarcus Russell,LSU,Jr.,"Draft (89th, 2004)"
,,Chase Daniel,Missouri,So.,FA (Wk 6 2005)
,,Drew Weatherford,Florida State,So.,Trade w/Mike 8-19-06
